domain_key|question_key|option_key|option_order|option_label|option_text|status|option_intent|authoring_notes
decision_style|q10|C|3|C|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q10|D|4|D|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q11|A|1|A|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q11|B|2|B|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q11|C|3|C|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q11|D|4|D|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q12|A|1|A|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q12|B|2|B|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q12|C|3|C|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q12|D|4|D|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q13|A|1|A|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q13|B|2|B|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q13|C|3|C|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q13|D|4|D|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q14|A|1|A|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q14|B|2|B|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q14|C|3|C|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q14|D|4|D|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q15|A|1|A|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q15|B|2|B|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q15|C|3|C|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q15|D|4|D|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q16|A|1|A|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q16|B|2|B|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q16|C|3|C|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q16|D|4|D|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q17|A|1|A|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q17|B|2|B|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q17|C|3|C|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q17|D|4|D|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q18|A|1|A|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q18|B|2|B|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q18|C|3|C|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q18|D|4|D|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q19|A|1|A|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q19|B|2|B|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q19|C|3|C|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q19|D|4|D|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q20|A|1|A|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q20|B|2|B|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q20|C|3|C|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q20|D|4|D|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q21|A|1|A|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q21|B|2|B|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q21|C|3|C|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q21|D|4|D|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q22|A|1|A|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q22|B|2|B|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q22|C|3|C|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q22|D|4|D|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q23|A|1|A|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q23|B|2|B|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q23|C|3|C|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q23|D|4|D|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q24|A|1|A|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q24|B|2|B|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q24|C|3|C|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q24|D|4|D|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
