domain_key|question_key|option_key|signal_key|weight|status|lookup_key
flow_state|q10|q10_A|deep_focus|3|active|q10::q10_A::deep_focus
flow_state|q10|q10_B|creative_movement|3|active|q10::q10_B::creative_movement
flow_state|q10|q10_C|physical_rhythm|3|active|q10::q10_C::physical_rhythm
flow_state|q10|q10_D|social_exchange|3|active|q10::q10_D::social_exchange
flow_state|q11|q11_A|deep_focus|3|active|q11::q11_A::deep_focus
flow_state|q11|q11_B|creative_movement|3|active|q11::q11_B::creative_movement
flow_state|q11|q11_C|physical_rhythm|3|active|q11::q11_C::physical_rhythm
flow_state|q11|q11_D|social_exchange|3|active|q11::q11_D::social_exchange
flow_state|q12|q12_A|deep_focus|3|active|q12::q12_A::deep_focus
flow_state|q12|q12_B|creative_movement|3|active|q12::q12_B::creative_movement
flow_state|q12|q12_C|physical_rhythm|3|active|q12::q12_C::physical_rhythm
flow_state|q12|q12_D|social_exchange|3|active|q12::q12_D::social_exchange
flow_state|q13|q13_A|deep_focus|3|active|q13::q13_A::deep_focus
flow_state|q13|q13_B|creative_movement|3|active|q13::q13_B::creative_movement
flow_state|q13|q13_C|physical_rhythm|3|active|q13::q13_C::physical_rhythm
flow_state|q13|q13_D|social_exchange|3|active|q13::q13_D::social_exchange
flow_state|q14|q14_A|deep_focus|3|active|q14::q14_A::deep_focus
flow_state|q14|q14_B|creative_movement|3|active|q14::q14_B::creative_movement
flow_state|q14|q14_C|physical_rhythm|3|active|q14::q14_C::physical_rhythm
flow_state|q14|q14_D|social_exchange|3|active|q14::q14_D::social_exchange
flow_state|q15|q15_A|deep_focus|3|active|q15::q15_A::deep_focus
flow_state|q15|q15_B|creative_movement|3|active|q15::q15_B::creative_movement
flow_state|q15|q15_C|physical_rhythm|3|active|q15::q15_C::physical_rhythm
flow_state|q15|q15_D|social_exchange|3|active|q15::q15_D::social_exchange
flow_state|q16|q16_A|deep_focus|3|active|q16::q16_A::deep_focus
flow_state|q16|q16_B|creative_movement|3|active|q16::q16_B::creative_movement
flow_state|q16|q16_C|physical_rhythm|3|active|q16::q16_C::physical_rhythm
flow_state|q16|q16_D|social_exchange|3|active|q16::q16_D::social_exchange
flow_state|q17|q17_A|deep_focus|3|active|q17::q17_A::deep_focus
flow_state|q17|q17_B|creative_movement|3|active|q17::q17_B::creative_movement
flow_state|q17|q17_C|physical_rhythm|3|active|q17::q17_C::physical_rhythm
flow_state|q17|q17_D|social_exchange|3|active|q17::q17_D::social_exchange
flow_state|q18|q18_A|deep_focus|3|active|q18::q18_A::deep_focus
flow_state|q18|q18_B|creative_movement|3|active|q18::q18_B::creative_movement
flow_state|q18|q18_C|physical_rhythm|3|active|q18::q18_C::physical_rhythm
flow_state|q18|q18_D|social_exchange|3|active|q18::q18_D::social_exchange
flow_state|q19|q19_A|deep_focus|3|active|q19::q19_A::deep_focus
flow_state|q19|q19_B|creative_movement|3|active|q19::q19_B::creative_movement
flow_state|q19|q19_C|physical_rhythm|3|active|q19::q19_C::physical_rhythm
flow_state|q19|q19_D|social_exchange|3|active|q19::q19_D::social_exchange
flow_state|q20|q20_A|deep_focus|3|active|q20::q20_A::deep_focus
flow_state|q20|q20_B|creative_movement|3|active|q20::q20_B::creative_movement
flow_state|q20|q20_C|physical_rhythm|3|active|q20::q20_C::physical_rhythm
flow_state|q20|q20_D|social_exchange|3|active|q20::q20_D::social_exchange
flow_state|q21|q21_A|deep_focus|3|active|q21::q21_A::deep_focus
flow_state|q21|q21_B|creative_movement|3|active|q21::q21_B::creative_movement
flow_state|q21|q21_C|physical_rhythm|3|active|q21::q21_C::physical_rhythm
flow_state|q21|q21_D|social_exchange|3|active|q21::q21_D::social_exchange
flow_state|q22|q22_A|deep_focus|3|active|q22::q22_A::deep_focus
flow_state|q22|q22_B|creative_movement|3|active|q22::q22_B::creative_movement
flow_state|q22|q22_C|physical_rhythm|3|active|q22::q22_C::physical_rhythm
flow_state|q22|q22_D|social_exchange|3|active|q22::q22_D::social_exchange
flow_state|q23|q23_A|deep_focus|3|active|q23::q23_A::deep_focus
flow_state|q23|q23_B|creative_movement|3|active|q23::q23_B::creative_movement
flow_state|q23|q23_C|physical_rhythm|3|active|q23::q23_C::physical_rhythm
flow_state|q23|q23_D|social_exchange|3|active|q23::q23_D::social_exchange
flow_state|q24|q24_A|deep_focus|3|active|q24::q24_A::deep_focus
flow_state|q24|q24_B|creative_movement|3|active|q24::q24_B::creative_movement
flow_state|q24|q24_C|physical_rhythm|3|active|q24::q24_C::physical_rhythm
flow_state|q24|q24_D|social_exchange|3|active|q24::q24_D::social_exchange
