section_key|field_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|source_anchor|source_excerpt|transformation_rule|final_text|drift_check|quality_notes|status
12_Narrowing|narrowing_title|process_results_people_vision||process|results|people|vision|pressure_behaviour|You may communicate more briefly, involve fewer people, and move quickly into correction or action.|Create the second narrowing title from pressure behaviour.|Pressure narrows participation|Pattern-level narrowing title with no score-shape dependency.|narrowing_2|review
12_Narrowing|narrowing_text|process_results_people_vision||process|results|people|vision|pressure_behaviour|This can restore order in the short term, but it may also create distance.|Explain the second narrowing risk and consequence.|Under pressure, you may involve fewer people and move quickly into correction or action. That can restore order quickly, but it can also create distance if people feel managed through the pressure rather than brought with you through it.|Shows pressure consequence without shaming the reader.|narrowing_2|review
12_Narrowing|missing_range_signal_key|process_results_people_vision||process|results|people|vision|rank_3_extension|People adds a different kind of intelligence.|Map the range signal for the second narrowing.|people|Frames People as additional intelligence and participation range.|narrowing_2|review
12_Narrowing|narrowing_title|process_results_people_vision||process|results|people|vision|narrowing_pattern|You may solve the immediate delivery issue without addressing the underlying trust issue.|Create the third narrowing title from pattern narrowing.|Short-term route, under-explained purpose|Pattern-level narrowing title with no score-shape dependency.|narrowing_3|review
12_Narrowing|narrowing_text|process_results_people_vision||process|results|people|vision|narrowing_pattern|You may give people a process when what they need first is context and purpose.|Explain the third narrowing risk and consequence.|The pattern can narrow when structure and delivery become the only trusted route. You may solve the immediate issue while leaving the wider direction under-explained, so the team follows the plan without fully seeing what it is meant to build.|Keeps Vision as extension and avoids lower-rank deficiency language.|narrowing_3|review
12_Narrowing|missing_range_signal_key|process_results_people_vision||process|results|people|vision|rank_4_extension|Vision expands your pattern by connecting reliable action to a larger direction.|Map the range signal for the third narrowing.|vision|Frames Vision as deliberate strategic range.|narrowing_3|review
13_Application|application_title|process_results_people_vision||process|results|people|vision|development_moves|Before finalising a route, ask who needs to shape it.|Create the first practical application title.|Invite ownership before closure|Pattern-level application title with no score-shape dependency.|application_1|review
13_Application|application_text|process_results_people_vision||process|results|people|vision|development_moves|The most useful move is to bring People and Vision in before the plan becomes too fixed.|Translate development guidance into usable action.|Before you finalise a route, identify who needs to shape it, challenge it, or understand the trade-offs. This does not mean opening every decision endlessly. It means building ownership before the plan becomes too fixed to be shared.|Action is practical and same-day usable.|application_1|review
13_Application|linked_signal_key|process_results_people_vision||process|results|people|vision|rank_3_extension|People expands your pattern by turning clarity into shared ownership.|Map the first application move to its activating signal.|people|Uses canonical signal key and frames People as ownership range.|application_1|review
13_Application|application_title|process_results_people_vision||process|results|people|vision|communication_behaviour|Some people need to understand the purpose, feel heard, and see how their judgement fits.|Create the second practical application title.|Add meaning to the route|Pattern-level application title with no score-shape dependency.|application_2|review
13_Application|application_text|process_results_people_vision||process|results|people|vision|communication_behaviour|Here is why it matters. Here is the route I think we should take. Here is where I want challenge or feedback.|Translate communication guidance into usable action.|When you explain the route, add the reason it matters and the places where you want challenge. This keeps your clarity, but turns directive structure into shared confidence and gives people a clearer reason to commit.|Connects communication to ownership and purpose.|application_2|review
13_Application|linked_signal_key|process_results_people_vision||process|results|people|vision|rank_4_extension|Vision helps you lift your attention from the current route to the future horizon.|Map the second application move to its activating signal.|vision|Uses canonical signal key and frames Vision as practical strategic range.|application_2|review
13_Application|application_title|process_results_people_vision||process|results|people|vision|pressure_behaviour|In pressure moments, add a human check and a vision check.|Create the third practical application title.|Use pressure checks|Pattern-level application title with no score-shape dependency.|application_3|review
13_Application|application_text|process_results_people_vision||process|results|people|vision|pressure_behaviour|These questions do not weaken your ability to act. They make the action more intelligent and measured.|Translate pressure guidance into usable action.|In pressure moments, keep the route clear but add two checks before action hardens. Ask who needs more context or support, and whether the immediate move still serves the longer direction. These checks make action more measured, not slower.|Preserves action orientation while adding People and Vision range.|application_3|review
13_Application|linked_signal_key|process_results_people_vision||process|results|people|vision|development_moves|Bring People in early enough and Vision in clearly enough.|Map the third application move to a range signal.|people|Uses canonical signal key and supports pressure range through people awareness.|application_3|review
14_Closing_Integration|closing_summary|process_results_people_vision|paired|process|results|people|vision|integrated_closing|At your best, you give people more than a process to follow.|Create the closing summary from the integrated interpretation.|Your leadership approach is valuable because it makes work hold together. You bring structure where there is uncertainty, order where there is noise, and practical action where others may still be circling. The paired Process-and-Results shape gives this approach its force. The next step is to bring People and Vision in early enough that the route becomes shared and purposeful, not only clear.|Integrates rank order, paired shape, value, and range without new claims.|closing_summary integrated|review
14_Closing_Integration|core_gift|process_results_people_vision|paired|process|results|people|vision|value_creation|Your leadership creates value by making progress repeatable.|Extract the core gift in a grounded way.|You make progress more deliberate, structured, and dependable.|Gift is specific and not slogan-like.|core_gift|review
14_Closing_Integration|core_trap|process_results_people_vision|paired|process|results|people|vision|hidden_cost|The route may sometimes arrive before enough shared ownership has formed.|Extract the core trap as an overuse risk.|The plan can become clear before people fully own the meaning, trade-offs, or direction behind it.|Trap is narrowing, not flaw or deficiency.|core_trap|review
14_Closing_Integration|development_edge|process_results_people_vision|paired|process|results|people|vision|development_moves|The development work is not to abandon structure or delivery. It is to broaden your leadership outlook.|State the clearest growth edge.|Keep the structure and delivery discipline, but deliberately add ownership and purpose before the route is locked in.|Growth edge broadens the pattern without asking the reader to become different.|development_edge|review
14_Closing_Integration|memorable_line|process_results_people_vision|paired|process|results|people|vision|memorable_line|Your leadership turns complexity into structured, consistent progress.|Use the dossier memorable line as the final reader-facing line.|Your leadership turns complexity into structured, consistent progress. The next step is making sure people can see themselves in the route before you ask them to own it.|Memorable line is specific, grounded, and aligned to the approved dossier.|memorable_line|review
