# assessment_key: blueprint-understand-how-you-lead
# version_id: 305cedaf-7431-4efe-a4e2-11127c08a318
# extraction_date: 2026-04-29
# row_count: 24
# notes: Pipe-delimited reference extract aligned to single-domain import column contract; null and aux authoring columns removed.

domain_key|section_key|pair_key|signal_key|driver_role|claim_type|claim_text|materiality|priority
leadership-approach|drivers|results_vision|process|supporting_context|driver_supporting_context|Process sits behind the pattern as a supporting layer. It gives the ambition a route and helps prevent the work from becoming only aspiration and urgency. At its best, this means you can connect the destination to practical standards, ownership, and sequence. If Process remains only lightly expressed, however, people may understand what matters without fully understanding how the work will be made dependable.|supporting|3
leadership-approach|drivers|results_vision|people|range_limitation|driver_range_limitation|People is the weaker range in this result. That does not mean people are unimportant to you. It means the relational signal is less likely to lead the pattern when pressure rises. You may notice commitment, trust, resistance, fatigue, or confidence after the destination and outcomes have already been defined. The practical consequence is that human readiness may need to be brought into the work earlier, not treated as a later engagement task.|material_underplay|4
leadership-approach|drivers|process_people|process|primary_driver|driver_primary|Process is the main cause of this pattern. It suggests that you instinctively look for the operating logic that will make leadership dependable. You are likely to notice where work lacks sequence, where responsibilities are unclear, where expectations are inconsistent, or where good intent has not yet become a repeatable way of working. This gives your leadership steadiness and order. It also means your attention can move quickly towards structure, sometimes before the outcome has been sharpened or the wider direction has been fully stated.|core|1
leadership-approach|drivers|process_people|people|secondary_driver|driver_secondary|People reinforces the pattern by adding attention to commitment and experience. You are not likely to value process only as control. You are more likely to value it when it helps people understand what is expected, feel supported in the work, and contribute with more confidence. This combination can make you stabilising and constructive when teams need clarity. The risk is that the desire to make the work manageable can reduce the urgency needed to test whether the approach is producing results.|core|2
leadership-approach|drivers|process_people|results|supporting_context|driver_supporting_context|Results sits behind the pattern as a supporting layer. It keeps the work connected to progress, standards, and practical consequence. At its best, this means you can use structure and care to move work towards visible outcomes. If Results remains only lightly expressed, however, the environment may feel orderly and supportive without enough pressure to prove that the work is moving far enough or fast enough.|supporting|3
leadership-approach|drivers|process_people|vision|range_limitation|driver_range_limitation|Vision is the weaker range in this result. That does not mean purpose is unimportant to you. It means the wider destination is less likely to lead the pattern when pressure rises. You may notice meaning, strategic story, or long-term direction after the operating system and human conditions have already been shaped. The practical consequence is that purpose may need to be brought into the structure earlier, not treated as a later explanation for work that is already underway.|material_underplay|4
leadership-approach|drivers|process_vision|process|primary_driver|driver_primary|Process is the main cause of this pattern. It suggests that you instinctively look for the structure that can turn direction into dependable work. You are likely to notice where responsibilities are blurred, where the route is unclear, where standards are inconsistent, or where ambition has not yet become a practical operating system. This gives your leadership coherence and steadiness. It also means your attention can move quickly towards order, sometimes before enough has been learned about the human energy needed to carry the work.|core|1
leadership-approach|drivers|process_vision|vision|secondary_driver|driver_secondary|Vision reinforces the pattern by giving the structure a reason to matter. You are not likely to value process only as administration. You are more likely to value it when it protects a wider destination, clarifies purpose, and helps people see why disciplined work is worthwhile. This combination can make your leadership purposeful and organised. The risk is that the system can become clearer than the level of commitment behind it.|core|2
leadership-approach|drivers|process_vision|results|supporting_context|driver_supporting_context|Results sits behind the pattern as a supporting layer. It adds urgency and helps prevent purpose and structure from remaining theoretical. At its best, this means you can connect a meaningful direction to visible progress and practical accountability. If Results remains only lightly expressed, however, people may understand the plan and the purpose without enough pressure to turn them into measurable movement.|supporting|3
leadership-approach|drivers|process_vision|people|range_limitation|driver_range_limitation|People is the weaker range in this result. That does not mean people are unimportant to you. It means the relational signal is less likely to lead the pattern when pressure rises. You may notice commitment, trust, resistance, fatigue, or confidence after the purpose and structure have already been defined. The practical consequence is that human readiness may need to be brought into the operating plan earlier, not treated as a later communication task.|material_underplay|4
leadership-approach|drivers|vision_people|vision|primary_driver|driver_primary|Vision is the main cause of this pattern. It suggests that you instinctively look for the destination, meaning, and purpose that should guide leadership. You are likely to notice where the work lacks direction, where people cannot see why it matters, where decisions feel disconnected from a wider intent, or where short-term activity is crowding out the bigger picture. This gives your leadership narrative strength and orientation. It also means your attention can move quickly towards purpose, sometimes before the route to delivery has been made concrete enough.|core|1
leadership-approach|drivers|vision_people|people|secondary_driver|driver_secondary|People reinforces the pattern by adding attention to engagement, confidence, and ownership. You are not likely to value vision only as an idea. You are more likely to value it when people can connect to it, contribute to it, and understand their part in carrying it. This combination can make your leadership inclusive and compelling. The risk is that meaning and alignment can take priority before the operating discipline or outcome pressure has been fully established.|core|2
leadership-approach|drivers|vision_people|process|supporting_context|driver_supporting_context|Process sits behind the pattern as a supporting layer. It gives the direction a route and helps turn shared intent into a workable way of operating. At its best, this means you can connect purpose and commitment to clear standards, responsibilities, and sequence. If Process remains only lightly expressed, however, people may feel aligned with the destination without enough structure to deliver it reliably.|supporting|3
leadership-approach|drivers|vision_people|results|range_limitation|driver_range_limitation|Results is the weaker range in this result. That does not mean outcomes are unimportant to you. It means visible progress and hard performance evidence are less likely to lead the pattern when pressure rises. You may notice delivery pace, measurable movement, or commercial consequence after purpose and engagement have already become the main focus. The practical consequence is that outcome discipline may need to be brought into the work earlier, not treated as a later proof point.|material_underplay|4
