section	target	field	content
pair	results_process	pressureFocus	Under pressure, this combination can become more rigid and task-focused. You may tighten processes and push for completion, which can reduce flexibility or input from others. Allowing some adaptability helps maintain effectiveness.
pair	results_process	environmentFocus	You perform best in environments where expectations, systems, and outcomes are clearly defined. When there is structure around delivery, you operate effectively. In less structured settings, creating your own framework helps maintain control.
pair	vision_people	chapterSummary	You combine connection with forward thinking. You bring people with you while shaping future direction, creating leadership that feels engaging and purposeful. Others feel involved in where things are going.
pair	vision_people	pressureFocus	Under pressure, this combination can become more focused on maintaining connection while holding onto vision. You may avoid difficult decisions to keep alignment, which can slow progress. Being more direct when needed helps maintain momentum.
pair	vision_people	environmentFocus	You perform best in environments where ideas can be shared and people feel involved. When there is openness and collaboration, you operate effectively. In less connected settings, being more explicit in your direction helps maintain clarity.
pair	vision_process	chapterSummary	You combine structure with forward thinking. You bring clarity to future direction by organising ideas into something practical and actionable, creating progress that feels both thoughtful and grounded.
pair	vision_process	pressureFocus	Under pressure, this combination can become more fixed in approach. You may focus on structuring the path forward while holding tightly to your vision, which can limit flexibility. Staying open to alternative routes helps improve outcomes.
pair	vision_process	environmentFocus	You perform best in environments where ideas can be translated into clear plans. When there is space to think and structure direction, you operate effectively. In more reactive settings, simplifying your approach helps maintain momentum.
pair	people_process	chapterSummary	You combine connection with structure. You support people while creating clarity in how work gets done, resulting in progress that feels organised and stable. Others know what to do and feel supported in doing it.
pair	people_process	pressureFocus	Under pressure, this combination can become more focused on maintaining stability and support. You may prioritise keeping things running smoothly over making difficult changes, which can delay progress. Being willing to challenge when needed helps maintain effectiveness.
pair	people_process	environmentFocus	You perform best in environments where people are supported and processes are clear. When expectations are defined and relationships are strong, you operate effectively. In less stable settings, reinforcing structure helps maintain control.
pair	compete_collaborate	chapterSummary	You balance directness with collaboration. You are willing to challenge when needed, but also bring others into the conversation, creating progress that is both assertive and inclusive. Tension is addressed, but not ignored.
pair	compete_collaborate	pressureFocus	Under pressure, this balance can shift. You may push your position more strongly while still trying to involve others, which can create mixed signals or friction. Being clear when you are leading versus collaborating helps reduce confusion and maintain progress.
pair	compete_collaborate	environmentFocus	You perform best in environments where open discussion and direct challenge are both accepted. When people can speak honestly and still work together, you operate effectively. In less open settings, adjusting how directly you challenge helps maintain alignment.
pair	compete_compromise	chapterSummary	You combine assertiveness with practicality. You are willing to push your position, but also recognise when to find middle ground, creating outcomes that move forward without prolonged conflict. Progress tends to be decisive, but contained.
pair	compete_compromise	pressureFocus	Under pressure, this can become more forceful or more concessional depending on the situation. You may either push too hard or settle too quickly to move things on. Recognising when to hold your position and when to adjust it is key to maintaining effectiveness.
pair	compete_compromise	environmentFocus	You perform best in environments where decisions need to be made and progress matters. When there is space to challenge and resolve quickly, you operate effectively. In more sensitive environments, moderating your approach helps maintain relationships.
pair	compete_avoidance	chapterSummary	You move between direct challenge and stepping back. You are capable of addressing issues head on, but may also disengage when tension feels unnecessary or unproductive. This can create unpredictable shifts in how you respond.
pair	compete_avoidance	pressureFocus	Under pressure, this combination can swing between confrontation and withdrawal. You may push strongly in one moment and step back in the next, which can confuse others or destabilise situations. Staying consistent in how you engage helps maintain clarity.
pair	compete_avoidance	environmentFocus	You perform best in environments where directness is accepted but not constant. When there is space to step in and step back, you operate effectively. In more consistent environments, stabilising your response helps build trust.
pair	collaborate_compromise	chapterSummary	You focus on maintaining balance and alignment. You bring people together, seek shared understanding, and work toward solutions that feel fair and workable. Tension is managed in a way that keeps relationships intact.
pair	collaborate_compromise	pressureFocus	Under pressure, this combination can lean toward agreement over resolution. You may prioritise harmony and middle ground, which can leave issues only partially addressed. Being willing to push slightly further helps create stronger outcomes.
pair	collaborate_compromise	environmentFocus	You perform best in environments where collaboration and fairness are valued. When people are open and willing to meet in the middle, you operate effectively. In more competitive environments, holding your position more firmly helps maintain impact.
pair	collaborate_avoidance	chapterSummary	You prioritise harmony and connection. You bring people together and reduce friction, often creating a calm and supportive environment where tension does not escalate easily.
pair	collaborate_avoidance	pressureFocus	Under pressure, this can lead to avoiding necessary tension. You may keep things positive and inclusive while sidestepping difficult conversations, which can delay resolution. Addressing issues more directly helps maintain progress.
pair	collaborate_avoidance	environmentFocus	You perform best in environments where relationships are valued and tension is handled constructively. When people are respectful and open, you operate effectively. In more confrontational settings, increasing your directness helps maintain clarity.
pair	compromise_avoidance	chapterSummary	You manage tension by stepping back and smoothing things over. You reduce friction, look for workable middle ground, and help situations settle without escalation. Progress is steady, but often understated.
pair	compromise_avoidance	pressureFocus	Under pressure, this can lead to issues being softened or delayed. You may avoid direct conflict while moving toward compromise, which can leave underlying tension unresolved. Addressing things more directly when needed helps create clearer outcomes.
pair	compromise_avoidance	environmentFocus	You perform best in environments where tension can be managed calmly and without escalation. When there is space to step back and resolve gradually, you operate effectively. In more direct environments, increasing your visibility in conversations helps maintain influence.
pair	competitive_collaborative	chapterSummary	You are energised by both challenge and connection. You want to perform at a high level, but also do it with others, creating an environment where progress is driven and shared. Competition exists, but not at the expense of relationships.
pair	competitive_collaborative	pressureFocus	Under pressure, this balance can shift. You may lean more into performance and challenge, which can strain relationships, or prioritise connection and ease off pace. Being clear on when to push and when to involve others helps maintain effectiveness.
pair	competitive_collaborative	environmentFocus	You perform best in environments that are high-performing but not isolating. When there is both challenge and teamwork, you operate effectively. In more individual or highly competitive settings, actively maintaining connection helps sustain performance.
pair	competitive_creative	chapterSummary	You are energised by pace, challenge, and new ideas. You enjoy pushing for results while exploring different approaches, creating an environment that feels both dynamic and forward-moving.
pair	competitive_creative	pressureFocus	Under pressure, this combination can become fast-moving but scattered. You may push hard for outcomes while shifting direction quickly, which can reduce focus. Anchoring on a clear priority helps maintain progress.
pair	competitive_creative	environmentFocus	You perform best in environments that are fast-paced and open to new thinking. When there is both challenge and flexibility, you operate effectively. In more rigid environments, finding space to adapt your approach helps maintain energy.
pair	competitive_structured	chapterSummary	You are energised by clear expectations and measurable outcomes. You perform best when there is structure around performance, creating an environment where results are driven with control and clarity.
pair	competitive_structured	pressureFocus	Under pressure, this combination can become more rigid and performance-driven. You may focus heavily on outcomes and tighten structure, which can limit flexibility. Allowing some adaptability helps maintain effectiveness.
pair	competitive_structured	environmentFocus	You perform best in environments where goals are clear and systems support delivery. When expectations are defined and performance is measured, you operate effectively. In less structured environments, creating your own framework helps maintain control.
pair	creative_collaborative	chapterSummary	You are energised by shared ideas and open thinking. You enjoy working with others while exploring new possibilities, creating an environment that feels engaging, flexible, and collaborative.
pair	creative_collaborative	pressureFocus	Under pressure, this combination can become less focused. You may prioritise ideas and discussion while delaying decisions, which can slow progress. Bringing more structure into conversations helps maintain momentum.
pair	creative_collaborative	environmentFocus	You perform best in environments where ideas can be explored openly and with others. When there is freedom and collaboration, you operate effectively. In more constrained settings, focusing on clear outcomes helps maintain direction.
pair	collaborative_structured	chapterSummary	You are energised by working with others in a clear and organised way. You value connection, but within an environment that has structure and predictability, creating progress that feels both supported and stable.
pair	collaborative_structured	pressureFocus	Under pressure, this combination can become more cautious. You may prioritise maintaining harmony and structure, which can slow decisions or avoid necessary change. Being more direct when needed helps maintain progress.
pair	collaborative_structured	environmentFocus	You perform best in environments where people are supported and expectations are clear. When there is both structure and teamwork, you operate effectively. In more ambiguous environments, reinforcing clarity helps maintain stability.
pair	creative_structured	chapterSummary	You are energised by combining ideas with organisation. You enjoy exploring new approaches, but also bringing them into a clear and workable form, creating progress that is both innovative and grounded.
pair	creative_structured	pressureFocus	Under pressure, this combination can become internally conflicted. You may want to explore new ideas while also holding onto structure, which can slow decisions. Choosing when to explore and when to execute helps maintain effectiveness.
pair	creative_structured	environmentFocus	You perform best in environments where ideas can be developed into practical outcomes. When there is space to think and structure to deliver, you operate effectively. In more extreme environments, either highly rigid or overly loose, adapting your approach helps maintain balance.
pair	control_scatter	chapterSummary	You move between taking control and spreading your focus. You step in to direct when needed, but also take on multiple priorities to keep everything moving, creating activity that can feel both decisive and reactive.
pair	control_scatter	pressureFocus	Under pressure, this can become inconsistent. You may tighten control in one moment and then shift attention quickly in the next, which can confuse others or fragment progress. Staying anchored to a clear priority helps bring consistency to your response.
pair	control_scatter	environmentFocus	You perform best in environments where both direction and flexibility are needed. When there is space to act and adjust, you operate effectively. In more structured settings, maintaining a clear focus helps others stay aligned with you.
pair	control_withdrawal	chapterSummary	You balance stepping in with stepping back. You are capable of taking control, but also create distance to think and reassess, creating a response that can feel measured but at times hard to read.
pair	control_withdrawal	pressureFocus	Under pressure, this can create a push-pull effect. You may take control quickly and then withdraw to process, which can leave others uncertain about direction. Being more consistent in your visibility helps maintain clarity.
pair	control_withdrawal	environmentFocus	You perform best in environments where there is space to act and reflect. When you can step in and step back without pressure, you operate effectively. In more demanding settings, staying visibly engaged helps maintain confidence.
pair	control_critical	chapterSummary	You combine control with sharp evaluation. You take direction and quickly assess what is not working, creating a response that is decisive and exacting. Standards are raised quickly and issues are addressed directly.
pair	control_critical	pressureFocus	Under pressure, this can become intense. You may take control while also becoming highly critical, which can raise tension and reduce input from others. Creating space for contribution helps balance direction with perspective.
pair	control_critical	environmentFocus	You perform best in environments where high standards and clear direction are expected. When challenge is accepted, you operate effectively. In more sensitive environments, moderating your delivery helps maintain engagement.
pair	scatter_withdrawal	chapterSummary	You move between activity and distance. You may take on multiple things to keep momentum, while also stepping back to process, creating a response that can feel busy but inconsistent.
pair	scatter_withdrawal	pressureFocus	Under pressure, this can lead to a loss of clarity. You may shift between doing more and disengaging, which can leave others unsure of your direction. Focusing on fewer priorities helps maintain consistency.
pair	scatter_withdrawal	environmentFocus	You perform best in environments that allow both movement and reflection. When there is flexibility in how you engage, you operate effectively. In more structured settings, maintaining a clear focus helps build trust.
pair	scatter_critical	chapterSummary	You combine high activity with sharp evaluation. You move quickly while identifying what is not working, creating a response that is active but often intense. Progress is pushed, but pressure can build quickly.
pair	scatter_critical	pressureFocus	Under pressure, this can become overwhelming for others. You may highlight issues while moving quickly between priorities, which can create tension and confusion. Slowing your pace slightly helps others stay aligned.
pair	scatter_critical	environmentFocus	You perform best in environments that can handle pace and challenge. When people are comfortable with direct feedback and movement, you operate effectively. In more structured environments, simplifying your focus helps maintain clarity.
pair	withdrawal_critical	chapterSummary	You combine evaluation with distance. You step back to assess what is not working, creating a response that is thoughtful but often less visible to others. Insight is strong, but not always shared immediately.
pair	withdrawal_critical	pressureFocus	Under pressure, this can become internalised. You may analyse and critique while disengaging from the situation, which can leave others without direction. Sharing your thinking earlier helps maintain alignment.
pair	withdrawal_critical	environmentFocus	You perform best in environments where there is space to think and challenge. When reflection is valued, you operate effectively. In more fast-moving environments, making your thinking visible helps maintain impact.
